Aerith Gainsborough	Aloy, Machine Master	Aurelia, the Warleader	Emmara, Soul of the Accord	Emmara, Soul of the Accord
Kemba, Kha Regent	Lae'zel, Master Chef	Massacre Girl	Lazav, the Multifarious	Lae'zel, Master Chef
Narset, Enlightened Master	Pantlaza, Sun-Favored	Rocksanne, Starfall Savant	Tifa Lockhart	Rocksanne, Starfall Savant
Aerith Gainsborough	Emmara, Soul of the Accord	Lazav, the Multifarious	Pantlaza, Sun-Favored	Aerith Gainsborough
Aloy, Machine Master	Kemba, Kha Regent	Massacre Girl	Rocksanne, Starfall Savant	Aloy, Machine Master
Aurelia, the Warleader	Lae'zel, Master Chef	Narset, Enlightened Master	Tifa Lockhart	Narset, Enlightened Master
Aerith Gainsborough	Lae'zel, Master Chef	Pantlaza, Sun-Favored	Massacre Girl	Lae'zel, Master Chef
Aloy, Machine Master	Narset, Enlightened Master	Lazav, the Multifarious	Tifa Lockhart	Tifa Lockhart
Rocksanne, Starfall Savant	Emmara, Soul of the Accord	Aurelia, the Warleader	Kemba, Kha Regent	Emmara, Soul of the Accord
Pantlaza, Sun-Favored	Massacre Girl	Tifa Lockhart	Aerith Gainsborough	Pantlaza, Sun-Favored
Aurelia, the Warleader	Narset, Enlightened Master	Lae'zel, Master Chef	Kemba, Kha Regent	Lae'zel, Master Chef
Aloy, Machine Master	Emmara, Soul of the Accord	Lazav, the Multifarious	Rocksanne, Starfall Savant	Aloy, Machine Master
Explorers of the Deep (Precon)	Kemba, Kha Regent	Massacre Girl	Aurelia, the Warleader	Massacre Girl
Lae'zel, Master Chef	Explorers of the Deep (Precon)	Narset, Enlightened Master	Aerith Gainsborough	Lae'zel, Master Chef
Tifa Lockhart	Pantlaza, Sun-Favored	Explorers of the Deep (Precon)	Rocksanne, Starfall Savant	Tifa Lockhart
Aloy, Machine Master	Emmara, Soul of the Accord	Lazav, the Multifarious	Explorers of the Deep (Precon)	Aloy, Machine Master
Aerith Gainsborough	Massacre Girl	Rocksanne, Starfall Savant	Explorers of the Deep (Precon)	Rocksanne, Starfall Savant
Aphelia, Viper Whisperer	Aloy, Machine Master	Explorers of the Deep (Precon)	Pantlaza, Sun-Favored	Aphelia, Viper Whisperer
Aphelia, Viper Whisperer	Lae'zel, Master Chef	Aloy, Machine Master	Emmara, Soul of the Accord	Emmara, Soul of the Accord
Aerith Gainsborough	Narset, Enlightened Master	Tifa Lockhart	Rocksanne, Starfall Savant	Narset, Enlightened Master
Tifa Lockhart	Massacre Girl	Kemba, Kha Regent	Aerith Gainsborough	Tifa Lockhart
Aphelia, Viper Whisperer	Aurelia, the Warleader	Lazav, the Multifarious	Explorers of the Deep (Precon)	Explorers of the Deep (Precon)
Aphelia, Viper Whisperer	Kemba, Kha Regent	Aurelia, the Warleader	Lazav, the Multifarious	Aurelia, the Warleader
Narset, Enlightened Master	Emmara, Soul of the Accord	Lae'zel, Master Chef	Explorers of the Deep (Precon)	Narset, Enlightened Master
Aerith Gainsborough	Rocksanne, Starfall Savant	Aloy, Machine Master	Tifa Lockhart	Rocksanne, Starfall Savant
Kemba, Kha Regent	Aurelia, the Warleader	Lazav, the Multifarious	Explorers of the Deep (Precon)	Kemba, Kha Regent
Pantlaza, Sun-Favored	Aerith Gainsborough	Tifa Lockhart	Narset, Enlightened Master	Aerith Gainsborough
Lae'zel, Master Chef	Emmara, Soul of the Accord	Rocksanne, Starfall Savant	Aphelia, Viper Whisperer	Lae'zel, Master Chef
Aphelia, Viper Whisperer	Lae'zel, Master Chef	Aloy, Machine Master	Narset, Enlightened Master	Aloy, Machine Master
Massacre Girl	Emmara, Soul of the Accord	Kemba, Kha Regent	Pantlaza, Sun-Favored	Massacre Girl
Lae'zel, Master Chef	Aloy, Machine Master	Massacre Girl	Tifa Lockhart	Massacre Girl
Jeskai Striker (Precon)	Explorers of the Deep (Precon)	Aloy, Machine Master	Kemba, Kha Regent	Aloy, Machine Master
Tifa Lockhart	Emmara, Soul of the Accord	Jeskai Striker (Precon)	Aphelia, Viper Whisperer	Tifa Lockhart
Tifa Lockhart	Aurelia, the Warleader	Lazav, the Multifarious	Emmara, Soul of the Accord	Emmara, Soul of the Accord
Jeskai Striker (Precon)	Pantlaza, Sun-Favored	Aurelia, the Warleader	Massacre Girl	Massacre Girl
Lae'zel, Master Chef	Veloci-Ramp-Tor (Precon)	Pantlaza, Sun-Favored	Aurelia, the Warleader	Pantlaza, Sun-Favored
Rocksanne, Starfall Savant	Veloci-Ramp-Tor (Precon)	Jeskai Striker (Precon)	Aurelia, the Warleader	Rocksanne, Starfall Savant
Rocksanne, Starfall Savant	Aloy, Machine Master	Tifa Lockhart	Narset, Enlightened Master	Rocksanne, Starfall Savant
Rocksanne, Starfall Savant	Tifa Lockhart	Narset, Enlightened Master	Massacre Girl	Narset, Enlightened Master
Jeskai Striker (Precon)	Aerith Gainsborough	Lazav, the Multifarious	Narset, Enlightened Master	Narset, Enlightened Master
Jeskai Striker (Precon)	Aerith Gainsborough	Rocksanne, Starfall Savant	Aloy, Machine Master	Rocksanne, Starfall Savant
Aerith Gainsborough	Aphelia, Viper Whisperer	Veloci-Ramp-Tor (Precon)	Aurelia, the Warleader	Aurelia, the Warleader
Explorers of the Deep (Precon)	Veloci-Ramp-Tor (Precon)	Jeskai Striker (Precon)	Tifa Lockhart	Tifa Lockhart
Rocksanne, Starfall Savant	Lae'zel, Master Chef	Aphelia, Viper Whisperer	Veloci-Ramp-Tor (Precon)	Lae'zel, Master Chef
Explorers of the Deep (Precon)	Veloci-Ramp-Tor (Precon)	Jeskai Striker (Precon)	Aerith Gainsborough	Explorers of the Deep (Precon)
Aloy, Machine Master	Veloci-Ramp-Tor (Precon)	Pantlaza, Sun-Favored	Aurelia, the Warleader	Pantlaza, Sun-Favored
Aloy, Machine Master	Massacre Girl	Pantlaza, Sun-Favored	Tifa Lockhart	Massacre Girl
Fae Dominion (Precon)	Tifa Lockhart	Aphelia, Viper Whisperer	Pantlaza, Sun-Favored	Tifa Lockhart
Fae Dominion (Precon)	Explorers of the Deep (Precon)	Aerith Gainsborough	Aurelia, the Warleader	Aerith Gainsborough
Fae Dominion (Precon)	Kemba, Kha Regent	Aphelia, Viper Whisperer	Aerith Gainsborough	Fae Dominion (Precon)
Aloy, Machine Master	Fae Dominion (Precon)	Pantlaza, Sun-Favored	Massacre Girl	Aloy, Machine Master
Fae Dominion (Precon)	Explorers of the Deep (Precon)	Pantlaza, Sun-Favored	Aurelia, the Warleader	Pantlaza, Sun-Favored
Pantlaza, Sun-Favored	Emmara, Soul of the Accord	Tifa Lockhart	Narset, Enlightened Master	Emmara, Soul of the Accord
Emmara, Soul of the Accord	Massacre Girl	Aerith Gainsborough	Fae Dominion (Precon)	Aerith Gainsborough
Lazav, the Multifarious	Jeskai Striker (Precon)	Veloci-Ramp-Tor (Precon)	Aphelia, Viper Whisperer	Lazav, the Multifarious
Lazav, the Multifarious	Fae Dominion (Precon)	Explorers of the Deep (Precon)	Aerith Gainsborough	Lazav, the Multifarious
